,t (s),CD_0
0,0.0,0.050228121972380024
1,0.0030120481927710845,0.050228121972380045
2,0.006024096385542169,0.050228121972380024
3,0.009036144578313254,0.05022812197238004
4,0.012048192771084338,0.050228121972380045
5,0.015060240963855423,0.05022812197238004
6,0.01807228915662651,0.05022812197238004
7,0.021084337349397592,0.05022812197238004
8,0.024096385542168676,0.050228121972380024
9,0.027108433734939763,0.050228121972380024
10,0.030120481927710847,0.05022812197238003
11,0.03313253012048193,0.05022812197238004
12,0.03614457831325302,0.05022812197238002
13,0.0391566265060241,0.05022812197238002
14,0.042168674698795185,0.05022812197238004
15,0.04518072289156627,0.050228121972380024
16,0.04819277108433735,0.05022812197238001
