aoa,cd,cl,cm
-30,0.35879,-0.8285,0.1297
-27,0.32442,-0.811,0.1144
-26,0.31152,-0.8002,0.1105
-25,0.30024,-0.7902,0.1062
-24,0.28929,-0.7799,0.1017
-23,0.27883,-0.7691,0.0971
-22,0.27182,-0.7609,0.0916
-21,0.26806,-0.7596,0.0861
-20,0.26465,-0.7621,0.0812
-19,0.26089,-0.7671,0.0768
-18,0.23425,-0.7334,0.0734
-17,0.21792,-0.7046,0.0723
-16,0.20871,-0.6916,0.0698
-15,0.20073,-0.6835,0.067
-14,0.19719,-0.6965,0.0636
-13,0.1942,-0.7374,0.0585
-12,0.17269,-0.7084,0.0588
-11,0.15837,-0.6856,0.0593
-10,0.14501,-0.6834,0.0552
-9,0.13481,-0.726,0.0382
-8,0.11467,-0.6628,0.0466
-7,0.09981,-0.677,0.0199
-6,0.08239,-0.6259,0.0282
-5,0.06559,-0.5652,0.0169
-3,0.04213,-0.3934,0.0083
-1,0.02938,-0.1239,-0.0015
0,0.02819,0,0
1,0.02938,0.1239,0.0015
3,0.04213,0.3934,-0.0083
5,0.06559,0.5652,-0.0169
6,0.08239,0.6259,-0.0282
7,0.09981,0.677,-0.0199
8,0.11467,0.6628,-0.0466
9,0.13481,0.726,-0.0382
10,0.14501,0.6834,-0.0552
11,0.15837,0.6856,-0.0593
12,0.17269,0.7084,-0.0588
13,0.1942,0.7374,-0.0585
14,0.19719,0.6965,-0.0636
15,0.20073,0.6835,-0.067
16,0.20871,0.6916,-0.0698
17,0.21792,0.7046,-0.0723
18,0.23425,0.7334,-0.0734
19,0.26089,0.7671,-0.0768
20,0.26465,0.7621,-0.0812
21,0.26806,0.7596,-0.0861
22,0.27182,0.7609,-0.0916
23,0.27883,0.7691,-0.0971
24,0.28929,0.7799,-0.1017
25,0.30024,0.7902,-0.1062
26,0.31152,0.8002,-0.1105
27,0.32442,0.811,-0.1144
30,0.35879,0.8285,-0.1297
